description,complaint_type
Loud Music/Party,Noise - Street/Sidewalk
Car/Truck Music,Noise - Vehicle
Loud Talking,Noise - Street/Sidewalk
Commercial Overnight Parking,Illegal Parking
No Access,Blocked Driveway
Double Parked Blocking Vehicle,Illegal Parking
Loud Talking,Noise - Street/Sidewalk
Blocked Sidewalk,Illegal Parking
Posted Parking Sign Violation,Illegal Parking
Posted Parking Sign Violation,Illegal Parking
Posted Parking Sign Violation,Illegal Parking
Car/Truck Horn,Noise - Vehicle
Double Parked Blocking Vehicle,Illegal Parking
Loud Talking,Noise - Street/Sidewalk
No Access,Blocked Driveway
Loud Talking,Noise - Street/Sidewalk
Car/Truck Music,Noise - Vehicle
Loud Music/Party,Noise - Commercial
Car/Truck Music,Noise - Commercial
Neglected,Animal Abuse
Double Parked Blocking Traffic,Illegal Parking
Other (complaint details),Animal Abuse
With License Plate,Derelict Vehicle
Loud Music/Party,Noise - Commercial
Loud Talking,Noise - Street/Sidewalk
Unlicensed,Vending
No Access,Blocked Driveway
Commercial Overnight Parking,Illegal Parking
No Access,Blocked Driveway
Blocked Hydrant,Illegal Parking
Blocked Hydrant,Illegal Parking
Loud Music/Party,Noise - Street/Sidewalk
No Access,Blocked Driveway
Commercial Overnight Parking,Illegal Parking
Commercial Overnight Parking,Illegal Parking
Overnight Commercial Storage,Illegal Parking
No Access,Blocked Driveway
Double Parked Blocking Vehicle,Illegal Parking
With License Plate,Derelict Vehicle
Commercial Overnight Parking,Illegal Parking
Loud Music/Party,Noise - Commercial
Partial Access,Blocked Driveway
Unlicensed,Vending
No Access,Blocked Driveway
Neglected,Animal Abuse
Partial Access,Blocked Driveway
With License Plate,Derelict Vehicle
Commercial Overnight Parking,Illegal Parking
Neglected,Animal Abuse
Loud Music/Party,Noise - Street/Sidewalk
No Access,Blocked Driveway
No Access,Blocked Driveway
No Access,Blocked Driveway
Blocked Sidewalk,Illegal Parking
Car/Truck Music,Noise - Vehicle
Partial Access,Blocked Driveway
Blocked Sidewalk,Illegal Parking
No Access,Blocked Driveway
Blocked Sidewalk,Illegal Parking
Loud Music/Party,Noise - Street/Sidewalk
Partial Access,Blocked Driveway
Loud Music/Party,Noise - Street/Sidewalk
Posted Parking Sign Violation,Illegal Parking
Posted Parking Sign Violation,Illegal Parking
Commercial Overnight Parking,Illegal Parking
Commercial Overnight Parking,Illegal Parking
Loud Music/Party,Noise - Commercial
Double Parked Blocking Traffic,Illegal Parking
Congestion/Gridlock,Traffic
Car/Truck Music,Noise - Vehicle
Blocked Sidewalk,Illegal Parking
Double Parked Blocking Vehicle,Illegal Parking
Loud Music/Party,Noise - Commercial
No Access,Blocked Driveway
Unlicensed,Vending
Loud Music/Party,Noise - Street/Sidewalk
Posted Parking Sign Violation,Illegal Parking
Posted Parking Sign Violation,Illegal Parking
Tortured,Animal Abuse
Loud Music/Party,Noise - Commercial
Loud Music/Party,Noise - Street/Sidewalk
Banging/Pounding,Noise - Commercial
Posted Parking Sign Violation,Illegal Parking
No Access,Blocked Driveway
Loud Music/Party,Noise - Park
No Access,Blocked Driveway
Blocked Sidewalk,Illegal Parking
Blocked Sidewalk,Illegal Parking
Car/Truck Music,Noise - Vehicle
Loud Music/Party,Noise - Street/Sidewalk
No Access,Blocked Driveway
Neglected,Animal Abuse
Blocked Sidewalk,Illegal Parking
Partial Access,Blocked Driveway
No Access,Blocked Driveway
Loud Talking,Noise - Street/Sidewalk
With License Plate,Derelict Vehicle
No Access,Blocked Driveway
Loud Music/Party,Noise - Street/Sidewalk
Loud Music/Party,Noise - Commercial
Blocked Hydrant,Illegal Parking
No Access,Blocked Driveway
In Prohibited Area,Vending
Loud Music/Party,Noise - Commercial
Loud Music/Party,Noise - Commercial
Partial Access,Blocked Driveway
No Access,Blocked Driveway
With License Plate,Derelict Vehicle
Commercial Overnight Parking,Illegal Parking
Truck Route Violation,Traffic
Blocked Hydrant,Illegal Parking
Loud Talking,Noise - Street/Sidewalk
Loud Talking,Noise - Street/Sidewalk
Posted Parking Sign Violation,Illegal Parking
No Access,Blocked Driveway
Posted Parking Sign Violation,Illegal Parking
No Access,Blocked Driveway
Neglected,Animal Abuse
Chained,Animal Abuse
Car/Truck Music,Noise - Vehicle
Loud Talking,Noise - Street/Sidewalk
Blocked Hydrant,Illegal Parking
Double Parked Blocking Vehicle,Illegal Parking
